排名,tag,评分等级,A(意外),B(解码),C(共鸣),D(延展),E(传播),总分,备注
321,"下班后失联等级",普通,2,3,3,2,2,12,"只有3个dim太单薄"
322,"你的KPI是啥",普通,2,2,3,3,2,12,"KPI+摸鱼常见组合"
323,"寿命计算（离谱版）",普通,2,3,2,3,2,12,"寿命计算不新鲜"
324,"朋友圈三天可见",普通,2,3,3,2,2,12,"只有2个dim"
325,"下班跑的比谁都快",普通,2,3,3,2,2,12,"只有2dim"
326,"下班倒计时选手",普通,2,3,3,2,2,12,"dim太少"
327,"给Wi-Fi分配MBTI",普通,2,3,2,3,2,12,"WiFi+MBTI"
328,"灵气复苏后你的本体",普通,2,3,2,3,2,12,"灵气分题"
329,"抽象大师",普通,2,3,2,3,2,12,"抽象常见"
330,"废话接龙锦标赛冠军",普通,2,2,2,3,2,11,"废话主题第三个变体，审美疲劳"
331,"灵气值剩余检测",普通,2,2,2,3,2,11,"灵气常见"
332,"把天聊死锦标赛冠军",普通,2,2,2,3,2,11,"聊死变体"
333,"你的超能力",普通,2,2,2,3,2,11,"与#44重叠"
334,"确诊为WiFi信号",普通,1,2,2,3,2,10,"'确诊为'梗+WiFi信号概念，与#8高度雷同"
335,"社交能量条还剩多少",普通,1,2,2,3,2,10,"与#5充电宝概念高度重复，dim完全一样"
336,"确诊为手机电量",普通,1,2,2,3,2,10,"概念与#5/#34/#43高度重复"
337,"摸鱼时间管理大师",普通,1,2,2,3,2,10,"摸鱼主题第N个变体"
338,"周末充电宝",普通,1,2,2,3,2,10,"与#5充电宝概念高度重叠"
339,"摸鱼时的大脑活动",普通,1,2,2,3,2,10,"摸鱼主题大量变体审美疲劳"
340,"前世是摸鱼达人吗",普通,1,2,2,3,2,10,"摸鱼+前世组合常见"
341,"带薪撸鱼达人",普通,1,2,2,3,2,10,"摸鱼大量变体"
342,"上班摸鱼打游戏",普通,1,2,2,3,2,10,"摸鱼大量变体"
343,"废话文学大师",普通,1,2,2,3,2,10,"废话主题大量变体"
344,"今日摸鱼运势",普通,1,2,2,3,2,10,"摸鱼主题大量变体"
345,"社交电池10%",普通,1,2,2,3,2,10,"电池概念大量变体"
346,"开会摸鱼段位鉴定",普通,1,2,2,3,2,10,"摸鱼变体"
347,"工位隐形摸鱼人",普通,1,2,2,3,2,10,"摸鱼变体"
348,"摸鱼功德积累器",普通,1,2,2,3,2,10,"摸鱼+功德变体"
349,"摸鱼转世锦鲤",普通,1,2,2,3,2,10,"摸鱼变体"
350,"社交电池容量",普通,1,2,2,3,2,10,"电池概念大量变体"
351,"摸鱼时创造的副业",普通,1,2,2,3,2,10,"摸鱼变体"
352,"测测寿命",普通,1,2,2,3,2,10,"与#127重叠"
353,"摸鱼天花板",普通,1,2,2,3,2,10,"摸鱼变体"
354,"测试寿命",普通,1,2,2,3,2,10,"与#127/#339重叠"
355,"你的废话能量等级",普通,1,2,1,3,2,9,"废话主题第四个变体，审美疲劳严重"
356,"当代年轻人",普通,1,2,2,2,2,9,"过于宽泛"
357,"今天吃什么",普通,1,2,2,2,2,9,"过于简单"
