编号,名称,分类,Emoji,描述,原始数据
105,"塑料友情鉴定","情感离谱","🛍️","点赞之交是薄塑料袋，能借钱的是加厚款，但都怕火。","{""name"":""塑料友情鉴定"",""category"":""情感离谱"",""emoji"":""🛍️"",""description"":""点赞之交是薄塑料袋，能借钱的是加厚款，但都怕火。""}"
106,"开会时的真实脑内活动","职场发疯","💭","表面在记笔记，心里在给每个发言的人配BGM。","{""name"":""开会时的真实脑内活动"",""category"":""职场发疯"",""emoji"":""💭"",""description"":""表面在记笔记，心里在给每个发言的人配BGM。""}"
107,"备忘录人格","性格搞怪","📝","里面记满了“突然想到的绝妙点子”，第二天看像外星文。","{""name"":""备忘录人格"",""category"":""性格搞怪"",""emoji"":""📝"",""description"":""里面记满了“突然想到的绝妙点子”，第二天看像外星文。""}"
108,"你的手机相册是什么垃圾场","趣味整活","🗑️","截图废料、模糊风景、和八百张角度一样的自拍。","{""name"":""你的手机相册是什么垃圾场"",""category"":""趣味整活"",""emoji"":""🗑️"",""description"":""截图废料、模糊风景、和八百张角度一样的自拍。""}"
109,"通过奶茶订单反推人生","逆天知识","🧋","全糖是年少轻狂，三分糖是向生活妥协，去冰是最后的倔强。","{""name"":""通过奶茶订单反推人生"",""category"":""逆天知识"",""emoji"":""🧋"",""description"":""全糖是年少轻狂，三分糖是向生活妥协，去冰是最后的倔强。""}"
110,"暗恋表达流派","情感离谱","🎨","主动出击型、等天降型、在对方朋友圈考古型、以及自我感动到死型。","{""name"":""暗恋表达流派"",""category"":""情感离谱"",""emoji"":""🎨"",""description"":""主动出击型、等天降型、在对方朋友圈考古型、以及自我感动到死型。""}"
111,"下班前最后五分钟","职场发疯","⏰","时间在这里发生相对论效应，一秒被拉得像一个世纪那么长。","{""name"":""下班前最后五分钟"",""category"":""职场发疯"",""emoji"":""⏰"",""description"":""时间在这里发生相对论效应，一秒被拉得像一个世纪那么长。""}"
112,"确诊为路由器","性格搞怪","📡","看起来很重要，其实谁都想踢你一脚，而且总在深夜被抱怨信号不好。","{""name"":""确诊为路由器"",""category"":""性格搞怪"",""emoji"":""📡"",""description"":""看起来很重要，其实谁都想踢你一脚，而且总在深夜被抱怨信号不好。""}"
113,"你的表情包灵魂伴侣","趣味整活","😈","那个你用得最顺手、最能代表你内心阴暗面的表情，找到了吗？","{""name"":""你的表情包灵魂伴侣"",""category"":""趣味整活"",""emoji"":""😈"",""description"":""那个你用得最顺手、最能代表你内心阴暗面的表情，找到了吗？""}"
114,"冷门生活技巧持有者","逆天知识","🔧","比如，你知道怎么用一张纸让蚊子自杀。","{""name"":""冷门生活技巧持有者"",""category"":""逆天知识"",""emoji"":""🔧"",""description"":""比如，你知道怎么用一张纸让蚊子自杀。""}"
115,"今日运势（准不准你说了算）","玄学运势","🔮","宜：躺在床上；忌：起床。准了请打钱，不准是你心不诚。","{""name"":""今日运势（准不准你说了算）"",""category"":""玄学运势"",""emoji"":""🔮"",""description"":""宜：躺在床上；忌：起床。准了请打钱，不准是你心不诚。""}"
116,"朋友群里的备注名","情感离谱","🏷️","在对方手机里，你可能不叫本名，叫“周五火锅搭子”或“借钱拉黑那位”。","{""name"":""朋友群里的备注名"",""category"":""情感离谱"",""emoji"":""🏷️"",""description"":""在对方手机里，你可能不叫本名，叫“周五火锅搭子”或“借钱拉黑那位”。""}"
117,"摸鱼时创造的副业","职场发疯","🎨","用公司电脑写的网络小说，画的摸鱼小漫画，或者研究的彩票号码规律。","{""name"":""摸鱼时创造的副业"",""category"":""职场发疯"",""emoji"":""🎨"",""description"":""用公司电脑写的网络小说，画的摸鱼小漫画，或者研究的彩票号码规律。""}"
118,"把天聊死锦标赛冠军","性格搞怪","🏆","一句话就能让热闹的群聊瞬间安静，这是一种天赋。","{""name"":""把天聊死锦标赛冠军"",""category"":""性格搞怪"",""emoji"":""🏆"",""description"":""一句话就能让热闹的群聊瞬间安静，这是一种天赋。""}"
119,"如果家具会说话","趣味整活","🛋️","你的沙发会对你的躺平姿势做出什么锐评？","{""name"":""如果家具会说话"",""category"":""趣味整活"",""emoji"":""🛋️"",""description"":""你的沙发会对你的躺平姿势做出什么锐评？""}"
120,"你的外卖人格","逆天知识","🍔","连续一周点同一家店同一种饭，这不是专一，是系统论里的“路径依赖”。","{""name"":""你的外卖人格"",""category"":""逆天知识"",""emoji"":""🍔"",""description"":""连续一周点同一家店同一种饭，这不是专一，是系统论里的“路径依赖”。""}"
121,"未发送消息收藏家","情感离谱","📨","对话框里打了又删的话，比发出去的真心一百倍。","{""name"":""未发送消息收藏家"",""category"":""情感离谱"",""emoji"":""📨"",""description"":""对话框里打了又删的话，比发出去的真心一百倍。""}"
122,"办公室神秘音源","职场发疯","👻","永远不知道是谁的肚子在叫，键盘敲得最响，以及叹气声穿透力最强。","{""name"":""办公室神秘音源"",""category"":""职场发疯"",""emoji"":""👻"",""description"":""永远不知道是谁的肚子在叫，键盘敲得最响，以及叹气声穿透力最强。""}"
123,"深夜思想家","性格搞怪","🤔","白天：嗯嗯好的。凌晨三点：宇宙的尽头是什么？","{""name"":""深夜思想家"",""category"":""性格搞怪"",""emoji"":""🤔"",""description"":""白天：嗯嗯好的。凌晨三点：宇宙的尽头是什么？""}"
124,"选择性耳聋","性格搞怪","👂","妈妈喊吃饭听不见，零食包装袋响了一下立刻闪现。","{""name"":""选择性耳聋"",""category"":""性格搞怪"",""emoji"":""👂"",""description"":""妈妈喊吃饭听不见，零食包装袋响了一下立刻闪现。""}"
125,"你的大脑是什么垃圾处理器","趣味整活","🧠","正经事记不住，十年前的尴尬瞬间循环播放。","{""name"":""你的大脑是什么垃圾处理器"",""category"":""趣味整活"",""emoji"":""🧠"",""description"":""正经事记不住，十年前的尴尬瞬间循环播放。""}"
126,"你是哪种民间传说生物","逆天知识","🐉","不是龙，是那种专偷袜子、让Wi-Fi变慢的灶台小精灵。","{""name"":""你是哪种民间传说生物"",""category"":""逆天知识"",""emoji"":""🐉"",""description"":""不是龙，是那种专偷袜子、让Wi-Fi变慢的灶台小精灵。""}"
127,"本周功德收支表","玄学运势","📊","扶了老奶奶+1，心里骂了老板-10086，目前功德严重赤字。","{""name"":""本周功德收支表"",""category"":""玄学运势"",""emoji"":""📊"",""description"":""扶了老奶奶+1，心里骂了老板-10086，目前功德严重赤字。""}"
128,"恋爱中的阅读理解","情感离谱","📚","对方发个句号，你能写出一篇五千字的中心思想分析。","{""name"":""恋爱中的阅读理解"",""category"":""情感离谱"",""emoji"":""📚"",""description"":""对方发个句号，你能写出一篇五千字的中心思想分析。""}"
129,"带薪如厕时间管理大师","职场发疯","🚽","精确计算每天最划算的摸鱼时段，并形成肌肉记忆。","{""name"":""带薪如厕时间管理大师"",""category"":""职场发疯"",""emoji"":""🚽"",""description"":""精确计算每天最划算的摸鱼时段，并形成肌肉记忆。""}"
130,"内心戏独角戏演员","性格搞怪","🎬","洗澡时是歌王，走路时是战神，实际见面时是哑巴。","{""name"":""内心戏独角戏演员"",""category"":""性格搞怪"",""emoji"":""🎬"",""description"":""洗澡时是歌王，走路时是战神，实际见面时是哑巴。""}"
131,"周一早八的怨气","职场发疯","😤","不是不想上班，是不想周一上班","{""name"":""周一早八的怨气"",""category"":""职场发疯"",""emoji"":""😤"",""description"":""不是不想上班，是不想周一上班""}"
132,"周末失忆症","性格搞怪","🧠","周五晚上计划满满，周日晚上只想躺着","{""name"":""周末失忆症"",""category"":""性格搞怪"",""emoji"":""🧠"",""description"":""周五晚上计划满满，周日晚上只想躺着""}"
133,"工位结界","职场发疯","🛡️","戴上耳机，世界与我无关，除非领导喊我","{""name"":""工位结界"",""category"":""职场发疯"",""emoji"":""🛡️"",""description"":""戴上耳机，世界与我无关，除非领导喊我""}"
134,"摸鱼时间管理大师","职场发疯","⏱️","精准计算领导路过工位的时间，并切换屏幕","{""name"":""摸鱼时间管理大师"",""category"":""职场发疯"",""emoji"":""⏱️"",""description"":""精准计算领导路过工位的时间，并切换屏幕""}"
135,"下班前五分钟相对论","职场发疯","⏳","这五分钟，比白天八小时都漫长","{""name"":""下班前五分钟相对论"",""category"":""职场发疯"",""emoji"":""⏳"",""description"":""这五分钟，比白天八小时都漫长""}"
136,"咖啡续命鉴定","职场发疯","☕","今天第几杯了？不喝这口，脑子就开不了机","{""name"":""咖啡续命鉴定"",""category"":""职场发疯"",""emoji"":""☕"",""description"":""今天第几杯了？不喝这口，脑子就开不了机""}"
137,"周末充电宝","性格搞怪","🔋","电量只够撑到周三，周末是唯一的充电口","{""name"":""周末充电宝"",""category"":""性格搞怪"",""emoji"":""🔋"",""description"":""电量只够撑到周三，周末是唯一的充电口""}"
138,"加班功德","玄学运势","🙏","积攒的加班时长，下辈子能兑换成什么","{""name"":""加班功德"",""category"":""玄学运势"",""emoji"":""🙏"",""description"":""积攒的加班时长，下辈子能兑换成什么""}"
139,"周末人格分裂","性格搞怪","🎭","白天发誓要改变世界，晚上瘫着刷手机到两点","{""name"":""周末人格分裂"",""category"":""性格搞怪"",""emoji"":""🎭"",""description"":""白天发誓要改变世界，晚上瘫着刷手机到两点""}"
140,"你的职场保护色","趣味整活","🦎","是透明人，还是气氛组，还是背锅侠","{""name"":""你的职场保护色"",""category"":""趣味整活"",""emoji"":""🦎"",""description"":""是透明人，还是气氛组，还是背锅侠""}"
141,"PPT驯兽师","职场发疯","🎪","把一堆废话和图表，驯服成能看的形状","{""name"":""PPT驯兽师"",""category"":""职场发疯"",""emoji"":""🎪"",""description"":""把一堆废话和图表，驯服成能看的形状""}"
142,"深夜改稿的怨灵","玄学运势","👹","凌晨两点还在改第8版，灵魂已经出窍","{""name"":""深夜改稿的怨灵"",""category"":""玄学运势"",""emoji"":""👹"",""description"":""凌晨两点还在改第8版，灵魂已经出窍""}"
143,"你的周末重启方式","趣味整活","🔄","是彻底躺平，还是报复性玩耍，还是假装没周末","{""name"":""你的周末重启方式"",""category"":""趣味整活"",""emoji"":""🔄"",""description"":""是彻底躺平，还是报复性玩耍，还是假装没周末""}"
144,"工位失踪物品图鉴","逆天知识","🔍","笔、零食、充电器…总在需要的时候神秘消失","{""name"":""工位失踪物品图鉴"",""category"":""逆天知识"",""emoji"":""🔍"",""description"":""笔、零食、充电器…总在需要的时候神秘消失""}"
145,"下班后失联等级","性格搞怪","📵","消息秒回，还是已读不回，还是直接人间蒸发","{""name"":""下班后失联等级"",""category"":""性格搞怪"",""emoji"":""📵"",""description"":""消息秒回，还是已读不回，还是直接人间蒸发""}"
146,"你的KPI是啥","趣味整活","📊","人生的KPI，可能是今天成功摸鱼不被发现","{""name"":""你的KPI是啥"",""category"":""趣味整活"",""emoji"":""📊"",""description"":""人生的KPI，可能是今天成功摸鱼不被发现""}"
147,"你的摸鱼搭子","情感离谱","🤝","那个一起上厕所、一起下楼拿快递的革命战友","{""name"":""你的摸鱼搭子"",""category"":""情感离谱"",""emoji"":""🤝"",""description"":""那个一起上厕所、一起下楼拿快递的革命战友""}"
148,"前世加班猝死鉴定","玄学运势","💀","这辈子这么怕加班，是不是上辈子有阴影","{""name"":""前世加班猝死鉴定"",""category"":""玄学运势"",""emoji"":""💀"",""description"":""这辈子这么怕加班，是不是上辈子有阴影""}"
149,"你的工作待机模式","性格搞怪","💤","看起来在干活，其实大脑在待机，等下班指令","{""name"":""你的工作待机模式"",""category"":""性格搞怪"",""emoji"":""💤"",""description"":""看起来在干活，其实大脑在待机，等下班指令""}"
150,"通勤路上的修行","逆天知识","🚇","挤地铁练就的缩骨功和面无表情神功","{""name"":""通勤路上的修行"",""category"":""逆天知识"",""emoji"":""🚇"",""description"":""挤地铁练就的缩骨功和面无表情神功""}"
151,"你的怨气收集器","职场发疯","📦","工位上的某个小物件，专门吸收你的负能量","{""name"":""你的怨气收集器"",""category"":""职场发疯"",""emoji"":""📦"",""description"":""工位上的某个小物件，专门吸收你的负能量""}"
152,"下班后回血速度","逆天知识","💉","有人需要一整晚，有人出公司门就满血复活","{""name"":""下班后回血速度"",""category"":""逆天知识"",""emoji"":""💉"",""description"":""有人需要一整晚，有人出公司门就满血复活""}"
153,"你的摸鱼BGM","趣味整活","🎵","戴上耳机听什么，决定了你今天的摸鱼质量","{""name"":""你的摸鱼BGM"",""category"":""趣味整活"",""emoji"":""🎵"",""description"":""戴上耳机听什么，决定了你今天的摸鱼质量""}"
154,"职场小强命格","玄学运势","🪳","怎么骂都骂不走，怎么卷都卷不死，生命力顽强","{""name"":""职场小强命格"",""category"":""玄学运势"",""emoji"":""🪳"",""description"":""怎么骂都骂不走，怎么卷都卷不死，生命力顽强""}"
155,"周末计划破产专家","性格搞怪","🏦","计划很丰满，执行很骨感，最后都在床上度过","{""name"":""周末计划破产专家"",""category"":""性格搞怪"",""emoji"":""🏦"",""description"":""计划很丰满，执行很骨感，最后都在床上度过""}"
156,"你的请假理由库","逆天知识","🗂️","从“肚子疼”到“家里有事”，你的储备有多丰富","{""name"":""你的请假理由库"",""category"":""逆天知识"",""emoji"":""🗂️"",""description"":""从“肚子疼”到“家里有事”，你的储备有多丰富""}"
157,"深夜加班emo等级","情感离谱","🌃","从怀疑人生，到想立刻辞职，到麻木地继续敲键盘","{""name"":""深夜加班emo等级"",""category"":""情感离谱"",""emoji"":""🌃"",""description"":""从怀疑人生，到想立刻辞职，到麻木地继续敲键盘""}"
158,"你的职场替身","趣味整活","👤","想象中那个在认真工作的你，和实际上的你","{""name"":""你的职场替身"",""category"":""趣味整活"",""emoji"":""👤"",""description"":""想象中那个在认真工作的你，和实际上的你""}"
159,"摸鱼时的大脑活动","逆天知识","🧠","表面在回邮件，内心在策划晚上吃火锅还是烧烤","{""name"":""摸鱼时的大脑活动"",""category"":""逆天知识"",""emoji"":""🧠"",""description"":""表面在回邮件，内心在策划晚上吃火锅还是烧烤""}"
160,"你的下班仪式感","性格搞怪","🎉","是关电脑的瞬间，是打卡的声音，还是走出大楼的那口气","{""name"":""你的下班仪式感"",""category"":""性格搞怪"",""emoji"":""🎉"",""description"":""是关电脑的瞬间，是打卡的声音，还是走出大楼的那口气""}"
161,"前世是摸鱼达人吗","玄学运势","🎣","这辈子这么会摸，是不是上辈子练过","{""name"":""前世是摸鱼达人吗"",""category"":""玄学运势"",""emoji"":""🎣"",""description"":""这辈子这么会摸，是不是上辈子练过""}"
162,"职场隐形人修炼手册","职场发疯","👻","如何降低存在感，让领导忘记给你派活","{""name"":""职场隐形人修炼手册"",""category"":""职场发疯"",""emoji"":""👻"",""description"":""如何降低存在感，让领导忘记给你派活""}"
163,"周末时间膨胀现象","逆天知识","🕰️","感觉刚放假，怎么就周一了？时间被谁偷走了","{""name"":""周末时间膨胀现象"",""category"":""逆天知识"",""emoji"":""🕰️"",""description"":""感觉刚放假，怎么就周一了？时间被谁偷走了""}"
164,"你的精神离职日期","情感离谱","📅","身体还在上班，灵魂的离职申请已经交了一百遍","{""name"":""你的精神离职日期"",""category"":""情感离谱"",""emoji"":""📅"",""description"":""身体还在上班，灵魂的离职申请已经交了一百遍""}"
165,"工位零食生态学","趣味整活","🍫","你的抽屉里，藏着怎样一个完整的零食生态系统","{""name"":""工位零食生态学"",""category"":""趣味整活"",""emoji"":""🍫"",""description"":""你的抽屉里，藏着怎样一个完整的零食生态系统""}"
166,"加班福报转化率","玄学运势","💰","加的班，有多少能真正变成福报（比如调休）","{""name"":""加班福报转化率"",""category"":""玄学运势"",""emoji"":""💰"",""description"":""加的班，有多少能真正变成福报（比如调休）""}"
167,"你的周末重启键在哪","性格搞怪","🔘","是睡到自然醒，是喝一杯奶茶，还是彻底打扫房间","{""name"":""你的周末重启键在哪"",""category"":""性格搞怪"",""emoji"":""🔘"",""description"":""是睡到自然醒，是喝一杯奶茶，还是彻底打扫房间""}"
168,"你的精神宠物是什么","趣味整活","🦔","别人养猫养狗，你脑子里养着一只随时会炸毛的刺猬。","{""name"":""你的精神宠物是什么"",""category"":""趣味整活"",""emoji"":""🦔"",""description"":""别人养猫养狗，你脑子里养着一只随时会炸毛的刺猬。""}"
169,"恋爱中的离谱角色","情感离谱","🎭","是“自我攻略型选手”还是“等对方先死的守株待兔型”？","{""name"":""恋爱中的离谱角色"",""category"":""情感离谱"",""emoji"":""🎭"",""description"":""是“自我攻略型选手”还是“等对方先死的守株待兔型”？""}"
170,"你的暗恋属于什么流派","情感离谱","💘","是“视奸对方所有社交平台但绝不说话”的忍者流，还是“疯狂暗示到对方报警”的直球流？","{""name"":""你的暗恋属于什么流派"",""category"":""情感离谱"",""emoji"":""💘"",""description"":""是“视奸对方所有社交平台但绝不说话”的忍者流，还是“疯狂暗示到对方报警”的直球流？""}"
171,"慢性待机确诊","性格搞怪","⏸️","人在这里，魂在别处。启动需要十分钟，运行五分钟就卡顿。","{""name"":""慢性待机确诊"",""category"":""性格搞怪"",""emoji"":""⏸️"",""description"":""人在这里，魂在别处。启动需要十分钟，运行五分钟就卡顿。""}"
172,"开会时的真实精神状态","职场发疯","🧠","表面在记笔记，脑子里在放《甄嬛传》，并且已经演到滴血认亲了。","{""name"":""开会时的真实精神状态"",""category"":""职场发疯"",""emoji"":""🧠"",""description"":""表面在记笔记，脑子里在放《甄嬛传》，并且已经演到滴血认亲了。""}"
173,"你的外卖记录人生转折点","逆天知识","📈","从麻辣烫到轻食沙拉，记录了你从放纵到自律（失败）的全过程。","{""name"":""你的外卖记录人生转折点"",""category"":""逆天知识"",""emoji"":""📈"",""description"":""从麻辣烫到轻食沙拉，记录了你从放纵到自律（失败）的全过程。""}"
174,"把天聊死专业几级","性格搞怪","💀","一句话就能让热闹的群聊瞬间冷场，并收获一串省略号。","{""name"":""把天聊死专业几级"",""category"":""性格搞怪"",""emoji"":""💀"",""description"":""一句话就能让热闹的群聊瞬间冷场，并收获一串省略号。""}"
175,"深夜矫情浓度检测","情感离谱","🌙","凌晨两点，打开备忘录开始写诗，天亮一看尴尬到脚趾抠地。","{""name"":""深夜矫情浓度检测"",""category"":""情感离谱"",""emoji"":""🌙"",""description"":""凌晨两点，打开备忘录开始写诗，天亮一看尴尬到脚趾抠地。""}"
176,"在同事眼里的人设","性格搞怪","👀","是“那个总在厕所摸鱼的人”，还是“消息秒回的AI同事”？","{""name"":""在同事眼里的人设"",""category"":""性格搞怪"",""emoji"":""👀"",""description"":""是“那个总在厕所摸鱼的人”，还是“消息秒回的AI同事”？""}"
177,"用奶茶配料看性格","逆天知识","🧋","全糖加料的是享乐主义，无糖去冰的是苦行僧，波霸单独放一边的是强迫症。","{""name"":""用奶茶配料看性格"",""category"":""逆天知识"",""emoji"":""🧋"",""description"":""全糖加料的是享乐主义，无糖去冰的是苦行僧，波霸单独放一边的是强迫症。""}"
178,"你的网络人格分裂指数","趣味整活","🧩","微博发疯，朋友圈装死，小红书岁月静好，豆瓣阴暗爬行。","{""name"":""你的网络人格分裂指数"",""category"":""趣味整活"",""emoji"":""🧩"",""description"":""微博发疯，朋友圈装死，小红书岁月静好，豆瓣阴暗爬行。""}"
179,"床头水杯数量","性格搞怪","🥛","三个起步，五个正常。每个都喝了一口，但永远想不起哪个是昨晚的。","{""name"":""床头水杯数量"",""category"":""性格搞怪"",""emoji"":""🥛"",""description"":""三个起步，五个正常。每个都喝了一口，但永远想不起哪个是昨晚的。""}"
180,"灵气复苏你在哪一层","玄学运势","✨","是刚能看见阿飘的入门级，还是已经能用意念关灯的宗师级？","{""name"":""灵气复苏你在哪一层"",""category"":""玄学运势"",""emoji"":""✨"",""description"":""是刚能看见阿飘的入门级，还是已经能用意念关灯的宗师级？""}"
181,"摸鱼时的手部小动作","职场发疯","🖱️","转笔、抠键盘、假装在打字其实在刷微博，一套动作行云流水。","{""name"":""摸鱼时的手部小动作"",""category"":""职场发疯"",""emoji"":""🖱️"",""description"":""转笔、抠键盘、假装在打字其实在刷微博，一套动作行云流水。""}"
182,"未发送的微信消息","情感离谱","📱","对话框里打了又删、删了又打，最后只发出去一个“嗯”或者表情包。","{""name"":""未发送的微信消息"",""category"":""情感离谱"",""emoji"":""📱"",""description"":""对话框里打了又删、删了又打，最后只发出去一个“嗯”或者表情包。""}"
183,"出门前的准备时长","性格搞怪","🚪","说“马上出门”，其实还要经历找钥匙、换鞋、突然想上厕所等半小时流程。","{""name"":""出门前的准备时长"",""category"":""性格搞怪"",""emoji"":""🚪"",""description"":""说“马上出门”，其实还要经历找钥匙、换鞋、突然想上厕所等半小时流程。""}"
184,"寿命计算（离谱版）","玄学运势","📅","根据你熬夜的天数、奶茶的杯数和生气的频率，重新估算你的阳寿。","{""name"":""寿命计算（离谱版）"",""category"":""玄学运势"",""emoji"":""📅"",""description"":""根据你熬夜的天数、奶茶的杯数和生气的频率，重新估算你的阳寿。""}"
185,"你是哪个小众领域专家","逆天知识","🔬","可能是“如何快速在超市找到打折商品”领域的民间诺贝尔奖得主。","{""name"":""你是哪个小众领域专家"",""category"":""逆天知识"",""emoji"":""🔬"",""description"":""可能是“如何快速在超市找到打折商品”领域的民间诺贝尔奖得主。""}"
186,"你和最好朋友的相似度","趣味整活","👯","不用说话就知道对方下一句要吐槽什么，连笑点都长在同一个地方。","{""name"":""你和最好朋友的相似度"",""category"":""趣味整活"",""emoji"":""👯"",""description"":""不用说话就知道对方下一句要吐槽什么，连笑点都长在同一个地方。""}"
187,"恋爱脑发作周期","情感离谱","💓","每月总有那么几天，看谁都觉得“他是不是喜欢我”，连路过的狗都像在对你笑。","{""name"":""恋爱脑发作周期"",""category"":""情感离谱"",""emoji"":""💓"",""description"":""每月总有那么几天，看谁都觉得“他是不是喜欢我”，连路过的狗都像在对你笑。""}"
188,"备忘录里的奇怪清单","性格搞怪","📒","存着“想吃的店”、“骂人的话”、“半夜的灵感”，但永远想不起打开看。","{""name"":""备忘录里的奇怪清单"",""category"":""性格搞怪"",""emoji"":""📒"",""description"":""存着“想吃的店”、“骂人的话”、“半夜的灵感”，但永远想不起打开看。""}"
189,"上辈子是什么职业（冷门版）","玄学运势","⚔️","不是皇帝将军，是驿站喂马的、茶馆说书的、或者专门给城墙贴小广告的。","{""name"":""上辈子是什么职业（冷门版）"",""category"":""玄学运势"",""emoji"":""⚔️"",""description"":""不是皇帝将军，是驿站喂马的、茶馆说书的、或者专门给城墙贴小广告的。""}"
190,"通过歌单看人生阶段","逆天知识","🎵","从“伤心情歌”到“儿歌大全”，记录了你从为爱流泪到为娃崩溃的全过程。","{""name"":""通过歌单看人生阶段"",""category"":""逆天知识"",""emoji"":""🎵"",""description"":""从“伤心情歌”到“儿歌大全”，记录了你从为爱流泪到为娃崩溃的全过程。""}"
191,"你的互联网嘴替是谁","趣味整活","🗣️","是某个暴躁博主，还是某个阴阳怪气的bot？你不敢说的，ta都说了。","{""name"":""你的互联网嘴替是谁"",""category"":""趣味整活"",""emoji"":""🗣️"",""description"":""是某个暴躁博主，还是某个阴阳怪气的bot？你不敢说的，ta都说了。""}"
192,"对crush的搜索记录","情感离谱","🔎","从名字到星座，从学校到公司，甚至搜过他三年前点赞过的一条微博。","{""name"":""对crush的搜索记录"",""category"":""情感离谱"",""emoji"":""🔎"",""description"":""从名字到星座，从学校到公司，甚至搜过他三年前点赞过的一条微博。""}"
193,"“再玩五分钟就睡”重症","性格搞怪","⏳","五个五分钟过去，天亮了，你还在刷手机，并坚信这次真的只差一点。","{""name"":""“再玩五分钟就睡”重症"",""category"":""性格搞怪"",""emoji"":""⏳"",""description"":""五个五分钟过去，天亮了，你还在刷手机，并坚信这次真的只差一点。""}"
194,"今天的运势（自己说了算）","玄学运势","🔮","不准？那是你心不诚。准了？那是我算得灵。横竖都是你对。","{""name"":""今天的运势（自己说了算）"",""category"":""玄学运势"",""emoji"":""🔮"",""description"":""不准？那是你心不诚。准了？那是我算得灵。横竖都是你对。""}"
195,"你的拖延症具体型号","逆天知识","🐌","是“死线前爆种型”，还是“干脆忘了型”，或者是“假装在忙其他事型”？","{""name"":""你的拖延症具体型号"",""category"":""逆天知识"",""emoji"":""🐌"",""description"":""是“死线前爆种型”，还是“干脆忘了型”，或者是“假装在忙其他事型”？""}"
196,"办公室神秘失踪事件2.0","职场发疯","👻","这次消失的不是物品，是“想工作的心情”和“对未来的希望”。","{""name"":""办公室神秘失踪事件2.0"",""category"":""职场发疯"",""emoji"":""👻"",""description"":""这次消失的不是物品，是“想工作的心情”和“对未来的希望”。""}"
197,"废话大师鉴定","趣味整活","🗣️","能把“今天天气不错”说成一篇论文，你说的话，信息密度比空气还低。","{""name"":""废话大师鉴定"",""category"":""趣味整活"",""emoji"":""🗣️"",""description"":""能把“今天天气不错”说成一篇论文，你说的话，信息密度比空气还低。""}
"
198,"把天聊死流派","情感离谱","💀","你是“嗯嗯哦哦”派，还是“突然开始讲道理”派？","{""name"":""把天聊死流派"",""category"":""情感离谱"",""emoji"":""💀"",""description"":""你是“嗯嗯哦哦”派，还是“突然开始讲道理”派？""}"
199,"深夜矫情等级","情感离谱","🌙","从“我很好”到翻三年前朋友圈并点赞，一共分几级？","{""name"":""深夜矫情等级"",""category"":""情感离谱"",""emoji"":""🌙"",""description"":""从“我很好”到翻三年前朋友圈并点赞，一共分几级？""}"
200,"跟历史人物的共同点","逆天知识","📜","你和李白都爱喝酒，和杜甫一样穷，和苏轼一样被贬（流放）到工位。","{""name"":""跟历史人物的共同点"",""category"":""逆天知识"",""emoji"":""📜"",""description"":""你和李白都爱喝酒，和杜甫一样穷，和苏轼一样被贬（流放）到工位。""}"
201,"外卖记录反推人生","逆天知识","🍱","连续一周麻辣香锅，说明你正在渡劫。突然开始点沙拉，说明劫渡完了，或者放弃了。","{""name"":""外卖记录反推人生"",""category"":""逆天知识"",""emoji"":""🍱"",""description"":""连续一周麻辣香锅，说明你正在渡劫。突然开始点沙拉，说明劫渡完了，或者放弃了。""}"
202,"投胎成什么家用电器","玄学运势","🔌","是24小时待机的路由器，还是一个月用一次的空气炸锅？","{""name"":""投胎成什么家用电器"",""category"":""玄学运势"",""emoji"":""🔌"",""description"":""是24小时待机的路由器，还是一个月用一次的空气炸锅？""}"
203,"你眼中的自己 vs 别人眼中的你","性格搞怪","👁️","你以为你是高冷猫系，其实在别人那是热情哈士奇。","{""name"":""你眼中的自己 vs 别人眼中的你"",""category"":""性格搞怪"",""emoji"":""👁️"",""description"":""你以为你是高冷猫系，其实在别人那是热情哈士奇。""}"
204,"没人理解的生活习惯","性格搞怪","🤫","比如吃薯条必须一根一根蘸番茄酱，比如睡前必须刷十分钟无聊短视频。","{""name"":""没人理解的生活习惯"",""category"":""性格搞怪"",""emoji"":""🤫"",""description"":""比如吃薯条必须一根一根蘸番茄酱，比如睡前必须刷十分钟无聊短视频。""}"
205,"用睡觉姿势推测历史地位","逆天知识","🛌","蜷缩如虾米——隐士。四仰八叉——君王。趴着睡——可能是个探子。","{""name"":""用睡觉姿势推测历史地位"",""category"":""逆天知识"",""emoji"":""🛌"",""description"":""蜷缩如虾米——隐士。四仰八叉——君王。趴着睡——可能是个探子。""}"
206,"今天的运势，准不准你说了算","玄学运势","🔮","“宜摸鱼，忌开会”。准了就是神算，不准就是心诚则灵。","{""name"":""今天的运势，准不准你说了算"",""category"":""玄学运势"",""emoji"":""🔮"",""description"":""“宜摸鱼，忌开会”。准了就是神算，不准就是心诚则灵。""}"
207,"对暗恋对象的表达方式","情感离谱","💌","是朋友圈仅他可见的深夜网易云，还是聊天记录翻烂了也不敢发个表情包？","{""name"":""对暗恋对象的表达方式"",""category"":""情感离谱"",""emoji"":""💌"",""description"":""是朋友圈仅他可见的深夜网易云，还是聊天记录翻烂了也不敢发个表情包？""}"
208,"社交强制关机时刻","情感离谱","🔄","当话题转到你不懂的领域，或者有人开始凡尔赛，你的系统就自动黑屏了。","{""name"":""社交强制关机时刻"",""category"":""情感离谱"",""emoji"":""🔄"",""description"":""当话题转到你不懂的领域，或者有人开始凡尔赛，你的系统就自动黑屏了。""}"
