编号,名称,分类,Emoji,描述,相似组,建议操作
257,深夜矫情浓度检测,情感离谱,🌙,凌晨两点，打开备忘录开始写诗，天亮一看尴尬到脚趾抠地。,,
258,在同事眼里的人设,性格搞怪,👀,是“那个总在厕所摸鱼的人”，还是“消息秒回的AI同事”？,G012,
259,下辈子投胎什么岗位,玄学运势,👔,是天天被@的产品经理，还是永远在改需求的乙方设计师？,G032,
260,用奶茶配料看性格,逆天知识,🧋,全糖加料的是享乐主义，无糖去冰的是苦行僧，波霸单独放一边的是强迫症。,G014,
261,下班前最后五分钟,职场发疯,⏰,时间变得无比漫长，每一秒都像在跑马拉松，但身体已经进入待机状态。,G037,
262,你的网络人格分裂指数,趣味整活,🧩,微博发疯，朋友圈装死，小红书岁月静好，豆瓣阴暗爬行。,G048,
263,对暗恋对象的表达方式,情感离谱,📤,是发仅对方可见的朋友圈，还是把聊天记录翻烂但绝不主动发消息？,G049,
264,床头水杯数量,性格搞怪,🥛,三个起步，五个正常。每个都喝了一口，但永远想不起哪个是昨晚的。,G034,
265,灵气复苏你在哪一层,玄学运势,✨,是刚能看见阿飘的入门级，还是已经能用意念关灯的宗师级？,,
266,你跟历史人物的共同点,逆天知识,👑,和李白一样爱喝酒（但会断片），和杜甫一样穷（但花呗欠更多）。,G050,
267,摸鱼时的手部小动作,职场发疯,🖱️,转笔、抠键盘、假装在打字其实在刷微博，一套动作行云流水。,,
268,给日常物品分配MBTI,趣味整活,🗂️,充电线是P人（随缘找），枕头是J人（必须摆正），空调是ENTJ（掌控全局）。,G051,
269,未发送的微信消息,情感离谱,📱,对话框里打了又删、删了又打，最后只发出去一个“嗯”或者表情包。,,
270,出门前的准备时长,性格搞怪,🚪,说“马上出门”，其实还要经历找钥匙、换鞋、突然想上厕所等半小时流程。,,
271,寿命计算（离谱版）,玄学运势,📅,根据你熬夜的天数、奶茶的杯数和生气的频率，重新估算你的阳寿。,,
272,你是哪个小众领域专家,逆天知识,🔬,可能是“如何快速在超市找到打折商品”领域的民间诺贝尔奖得主。,G052,
273,周一早八的怨气实体化,职场发疯,😤,如果怨气能发电，你周一早上产生的能量够整个城市用一周。,G041,
274,你和最好朋友的相似度,趣味整活,👯,不用说话就知道对方下一句要吐槽什么，连笑点都长在同一个地方。,,
275,恋爱脑发作周期,情感离谱,💓,每月总有那么几天，看谁都觉得“他是不是喜欢我”，连路过的狗都像在对你笑。,,
276,备忘录里的奇怪清单,性格搞怪,📒,存着“想吃的店”、“骂人的话”、“半夜的灵感”，但永远想不起打开看。,,
277,上辈子是什么职业（冷门版）,玄学运势,⚔️,不是皇帝将军，是驿站喂马的、茶馆说书的、或者专门给城墙贴小广告的。,,
278,通过歌单看人生阶段,逆天知识,🎵,从“伤心情歌”到“儿歌大全”，记录了你从为爱流泪到为娃崩溃的全过程。,G040,
279,上班如厕时间管理大师,职场发疯,🚽,精准计算老板不在、会议间隙的黄金十分钟，完成每日最重要的放松仪式。,G026,
280,你的互联网嘴替是谁,趣味整活,🗣️,是某个暴躁博主，还是某个阴阳怪气的bot？你不敢说的，ta都说了。,,
281,对crush的搜索记录,情感离谱,🔎,从名字到星座，从学校到公司，甚至搜过他三年前点赞过的一条微博。,,
282,“再玩五分钟就睡”重症,性格搞怪,⏳,五个五分钟过去，天亮了，你还在刷手机，并坚信这次真的只差一点。,,
283,今天的运势（自己说了算）,玄学运势,🔮,不准？那是你心不诚。准了？那是我算得灵。横竖都是你对。,,
284,你的拖延症具体型号,逆天知识,🐌,是“死线前爆种型”，还是“干脆忘了型”，或者是“假装在忙其他事型”？,,
285,办公室神秘失踪事件2.0,职场发疯,👻,这次消失的不是物品，是“想工作的心情”和“对未来的希望”。,,
286,你的精神宠物是什么,趣味整活,🐶,不是猫猫狗狗，是脑子里那个一到晚上就蹦迪的小东西。,G020,
287,废话大师鉴定,趣味整活,🗣️,能把“今天天气不错”说成一篇论文，说的就是你。,G003,
288,QQ号转世成什么,玄学运势,🔢,一串数字的轮回，是变成路边摊还是变成博物馆藏品？,G009,
289,在同事群聊备注里叫什么,职场发疯,📝,“那个总在厕所摸鱼的”和“那个永远在改需求的”，总有一款适合你。,G006,
290,前世是什么部门什么角色,玄学运势,👑,不是皇帝将军，是御膳房偷吃的，还是军机处打瞌睡的？,G004,
291,慢性待机综合症,性格搞怪,⏸️,人坐着，脑子在转，但就是不动。一种介于活着和没活之间的状态。,G031,
292,把天聊死流派,情感离谱,💀,你是“嗯嗯哦哦”派，还是“突然开始讲道理”派？,,
293,深夜矫情等级,情感离谱,🌙,从“我很好”到翻三年前朋友圈并点赞，一共分几级？,G053,
294,开会时的真实精神状态,职场发疯,💭,表面在记笔记，灵魂在思考中午吃啥，以及宇宙的尽头。,G047,
295,证明今天的班白上了,职场发疯,📄,打开文档，写了两行，删掉，关掉。这就是你一天的劳动成果。,G007,
296,你的社交电池容量,性格搞怪,🔋,出门两小时，回家充电八小时。电量条永远在红色边缘试探。,G033,
297,跟历史人物的共同点,逆天知识,📜,你和李白都爱喝酒，和杜甫一样穷，和苏轼一样被贬（流放）到工位。,G050,
298,外卖记录反推人生,逆天知识,🍱,连续一周麻辣香锅，说明你正在渡劫。突然开始点沙拉，说明劫渡完了，或者放弃了。,,
299,投胎成什么家用电器,玄学运势,🔌,是24小时待机的路由器，还是一个月用一次的空气炸锅？,G013,
300,恋爱中的离谱角色,情感离谱,🎭,你是自我攻略型军师，还是等对方先开口的木头桩子？,G008,
301,塑料友情材质鉴定,情感离谱,🛍️,是可降解的环保塑料，还是火烧不化的千年老料？,G036,
302,工位神秘失踪事件,职场发疯,🕵️,笔、零食、充电器，总在你不注意的时候消失，又在发薪日前后神秘出现。,G030,
303,下班前最后五分钟,职场发疯,⏳,时间在这里被拉长，像过了半个世纪。你盯着时钟，它盯着你。,G037,
304,你眼中的自己 vs 别人眼中的你,性格搞怪,👁️,你以为你是高冷猫系，其实在别人那是热情哈士奇。,,
305,没人理解的生活习惯,性格搞怪,🤫,比如吃薯条必须一根一根蘸番茄酱，比如睡前必须刷十分钟无聊短视频。,,
306,用睡觉姿势推测历史地位,逆天知识,🛌,蜷缩如虾米——隐士。四仰八叉——君王。趴着睡——可能是个探子。,G005,
307,你是哪个小众领域民间专家,逆天知识,🧐,泡面的一百种吃法，还是如何优雅地蹭公司WiFi？,G052,
308,今天的运势，准不准你说了算,玄学运势,🔮,“宜摸鱼，忌开会”。准了就是神算，不准就是心诚则灵。,,
309,下辈子投胎成什么岗位,玄学运势,💼,是天天被@的产品经理，还是永远在修bug的程序员？想想就刺激。,G032,
310,对暗恋对象的表达方式,情感离谱,💌,是朋友圈仅他可见的深夜网易云，还是聊天记录翻烂了也不敢发个表情包？,G049,
311,社交强制关机时刻,情感离谱,🔄,当话题转到你不懂的领域，或者有人开始凡尔赛，你的系统就自动黑屏了。,,
312,给日常物品分配MBTI,趣味整活,🏷️,马桶是ISTJ（一丝不苟），WiFi是ENFP（热情但不稳定），你的枕头是INFP（吸收所有情绪）。,G051,
313,跟表情包的灵魂契合度,趣味整活,😭,那个“笑着流泪”的熊猫头，是不是你的人生写照？,,
314,证明你和朋友是同一个人,趣味整活,👯,聊天记录里一半是“哈哈哈哈”，另一半是“你也是？？？”,,
315,前世的未了微信好友申请,玄学运势,📱,孟婆汤喝了，但那个红色的小点点，还在奈何桥那头闪啊闪。,G011,
316,在同事眼里是什么奇怪人设,职场发疯,🎪,是“那个总带奇怪零食的”，还是“开会永远坐角落的隐形人”？,G012,
317,你的翻聊天记录流派,性格搞怪,🔍,从第一条翻到三天前，翻完又翻回来——你就是这样的人。,,
318,床头水杯数量评级,性格搞怪,🥛,一个杯是正常人，三个杯是水牛，五个杯以上……你是在床头开茶话会吗？,G034,
319,备忘录里的未发送内容,情感离谱,📓,写满了想说的话，最后都变成了“算了”。,,
320,与历史人物的适配度,逆天知识,🤝,你和嵇康一样爱打铁（健身），和陶渊明一样想辞职种地。,G010,
321,你的外卖连续剧,逆天知识,🎬,第一集：探索新店。第十集：还是那家黄焖鸡。大结局：泡面。,,
322,灵气复苏后你的天赋,玄学运势,✨,是能一眼看穿对方昨晚熬夜了，还是能凭空让WiFi信号增强一格？,G035,
323,周一早八的怨气实体化,职场发疯,😤,如果怨气能发电，你工位上的灯能从周一亮到周五。,G041,
324,摸鱼时的搜索引擎记录,职场发疯,🌐,从“如何快速致富”到“附近哪家奶茶好喝”，记录了你跌宕起伏的职业生涯。,,
325,你的网络人格分裂指数,趣味整活,🎭,微博暴躁老哥，朋友圈岁月静好，豆瓣文艺青年。哪个才是真的你？都是。,G048,
326,确诊为“已读不回”型人格,情感离谱,👁️‍🗨️,不是不想回，是手指它有自己的想法，比如点开，然后退出。,,
327,你的“算了”能量槽,性格搞怪,⚡,从“我要据理力争”到“算了算了”，只需要对方一个迷惑操作。,,
328,通过歌单诊断近期状态,逆天知识,🎧,全是伤感情歌——失恋了。全是电音——要加班了。儿歌循环——彻底疯了。,,
329,上辈子是驿站喂马的,玄学运势,🐎,这辈子对“马上就好”“在路上了”这种话，有刻在DNA里的PTSD。,,
330,你的工位风水,职场发疯,🧧,背对老板（大吉），正对空调（大凶），旁边是零食富翁（上上签）。,G028,
331,朋友群的潜水并截图大师,趣味整活,📸,不说话，但每一个梗图、每一段黑历史，你都默默保存了下来。,,
332,单身饭桶鉴定,性格搞怪,🍚,点外卖永远凑满减，吃不完的第二天热热接着吃，冰箱里永远有半盒剩菜,,
333,猫奴等级测试,性格搞怪,🐱,发工资先给猫买罐罐，自己啃泡面，手机相册一万张猫片没一张自拍,,
334,熬夜肝游戏人,性格搞怪,🎮,定闹钟起来清日常，打输了气的拍桌子，赢了能乐半小时，队友菜比自己输了还气,,
335,追星氪金能手,性格搞怪,💳,专辑买十张拆重复也开心，周边堆半墙，代言的产品就算用不上也要凑销量,,
336,路边摊狙击手,性格搞怪,🍢,下班路上闻着味就能找到新开的炸串摊，哪家烤冷面多放酱门儿清,,
337,单身沙发焊死,趣味整活,🛋️,周末能在沙发上瘫一天，外卖到了才挪屁股，遥控器永远在伸手能碰到的地方,,
338,狗语八级学者,趣味整活,🐶,路上看见狗就想汪汪两声打招呼，能精准分辨自家狗叫是要吃饭还是要出门,,
339,抽卡非酋认证,趣味整活,🎴,次次大保底，抽卡前洗手拜神没用，别人十连三黄你十连全R,,
340,追星站姐代餐,趣味整活,📸,接机举着大炮比记者跑的快，修图比上班认真，爱豆发微博比自己中奖还激动,,
341,吃辣段位测评,趣味整活,🌶️,吃火锅要特辣，吸着鼻涕擦着汗还说不辣，第二天屁股疼才后悔嘴硬,,
342,单身时长换算,逆天知识,⏳,单身的时间够看完三遍四大名著，熟练掌握一个人吃火锅不被收碗的技巧,,
343,猫掉毛量计算,逆天知识,🧶,家里猫掉的毛攒起来能织三件毛衣，黑衣服永远沾着猫毛，出门拍半小时也拍不干净,,
344,游戏按键磨损度,逆天知识,⌨️,键盘WASD键磨的发白，手柄摇杆掉皮，不用看也能精准按到技能键,,
345,爱豆同款相似度,逆天知识,👕,能精准认出爱豆今天戴的帽子是三年前买的同款，路人扫一眼就能认出自家应援色,,
346,奶茶糖分计算师,逆天知识,🧋,喝一口就知道奶茶糖放多了还是少了，哪家珍珠煮的够糯哪家茶底涩门儿清,,
347,单身桃花转世,玄学运势,🌸,上辈子可能是个桃花树，这辈子全是烂桃花，正缘永远在别人的恋爱里,,
348,宠物前世身份,玄学运势,🐾,你家猫上辈子肯定是你祖宗，这辈子来讨债的，天天拆家你还得哄着,,
349,游戏皮肤运气,玄学运势,✨,抽皮肤前改ID换头像拜欧皇，最后还是用6块钱的原皮，限定永远跟你无缘,,
350,追星缘分指数,玄学运势,💫,抢票永远陪跑，演唱会永远赶上你加班，同城活动你永远在外地出差,,
351,吃货财运关联,玄学运势,🍜,发工资当天必想吃顿好的，吃完就发现这个月又要吃土，钱全花在嘴上了,,
352,单身等死型恋爱,情感离谱,🤷,嘴上喊着要对象，有人撩你你就跑，朋友圈天天看别人谈恋爱，自己就是不行动,,
353,宠物争宠大师,情感离谱,😤,看见对象撸别人家的猫就吃醋，自家猫跟对象亲你还得跟猫置气,,
354,游戏cp绝缘体,情感离谱,💔,打游戏遇见的要么是小学生要么是已婚大叔，处cp永远处成兄弟,,
355,追星梦女等级,情感离谱,💌,刷到爱豆物料能脑补出十万字同人文，连以后孩子叫什么都想好了,,
356,饭搭子绝交阈值,情感离谱,🙅,饭搭子敢抢你碗里最后一块肉，当场就能绝交半小时，给你买杯奶茶又和好,,
357,带薪撸鱼达人,职场发疯,🐟,上班没事就刷宠物视频，老板过来就切到报表，手机屏保是自家猫,,
358,上班摸鱼打游戏,职场发疯,🕹️,电脑开着工作界面，手机在底下打排位，队友坑了不敢骂出声憋的脸通红,,
359,工位追星隐蔽者,职场发疯,🤫,工位上摆着爱豆小卡，电脑壁纸是爱豆，听见同事说爱豆坏话当场就能阴阳怪气,,
360,带薪蹲点抢外卖,职场发疯,🥡,十点半就开始刷外卖平台，凑满减凑半小时，下班前五分钟就盯着外卖员定位,,
361,下班光速消失术,职场发疯,🏃,下班铃一响电脑都来不及关，要么赶着回家喂猫要么赶着上线打游戏，多待一秒都亏,,
362,单身冰箱收藏家,性格搞怪,🧊,冰箱里永远有半瓶快乐水、半盒冰淇淋、三罐没开的啤酒，就是没有新鲜蔬菜,,
363,仓鼠囤粮爱好者,性格搞怪,🐹,给宠物囤的粮能吃半年，自己的零食也塞满抽屉，就怕哪天突然断货,,
364,游戏嘴强王者,性格搞怪,👄,打输了全怪队友菜，自己死了就是网络卡，嘴上骚话比操作秀,,
365,追星物料考古家,性格搞怪,🔍,能把爱豆十年前的微博翻出来，连他小学参加的唱歌比赛视频都能挖到,,
366,外卖口味执念者,性格搞怪,🥡,点外卖永远点同一家同一个口味，老板都能记住你不吃葱多放辣,,
367,单身情侣观察员,趣味整活,👀,在街上看见情侣吵架能停下来看十分钟，比看电视剧还入迷,,
368,宠物表情包大户,趣味整活,😼,聊天表情包全是自家宠物的黑照，跟人吵架都发猫的表情包怼人,,
369,新游尝鲜韭菜,趣味整活,🌱,新游戏上线第一个下载，充完首充玩三天就卸载，手机里永远有三个没玩完的新游,,
370,应援词背诵大师,趣味整活,📣,应援词比公司年会发言稿背的还熟，爱豆的歌歌词倒背如流，上班要背的东西记不住,,
371,隐藏菜单挖掘者,趣味整活,🍔,每家快餐店的隐藏菜单都知道，去奶茶店能点出店员都没听过的搭配,,
372,单身脱单flag寿命,逆天知识,🚩,每次说“今年一定要脱单”的flag，平均寿命不超过三天，转头就忘了,,
373,遛狗步数换算,逆天知识,🚶,每天遛狗的步数比你上班走的还多，一年下来能绕小区走五十圈,,
374,游戏喷人速度测试,逆天知识,⚡,打游戏喷人的打字速度比上班写方案快三倍，一分钟能打两百字不带重样的,,
375,爱豆生日记忆力,逆天知识,🎂,能准确记住爱豆的生日、出道日、甚至猫的生日，自己爸妈的生日得翻备忘录,,
376,火锅蘸料配方师,逆天知识,🥘,调的火锅蘸料全桌人都要抄配方，谁要是往你蘸料里放香菜能跟他急,,
377,相亲局话术大师,趣味整活,🎤,从星座聊到宠物，从工作聊到旅行，就是聊不到点上。,,
378,催婚压力测试仪,职场发疯,⏰,过年回家，亲戚的每一句话都是对血压和耐心的双重考验。,,
379,前任考古学家,情感离谱,⛏️,深夜翻遍所有社交平台，只为确认对方过得没自己好。,,
380,恋爱脑间歇性发作,性格搞怪,🧠,上一秒看偶像剧甜到打滚，下一秒觉得男人只会影响拔刀速度。,,
381,脱单锦鲤绝缘体,玄学运势,🐟,朋友都脱单了，你连个暧昧对象都养不活。,,
382,相亲对象分类学,逆天知识,🏷️,通过三句话，就能把对方精准归类到‘奇葩’或‘还行’文件夹。,,
383,朋友圈官宣拖延症,情感离谱,⏳,恋爱半年了，合照还在手机相册里吃灰。,,
384,妈见打型单身贵族,性格搞怪,👑,在家呼吸都是错，因为‘别人家孩子’都二胎了。,,
385,恋爱废物鉴定,趣味整活,🗑️,擅长把天聊死，把暧昧对象处成兄弟。,,
386,月老线打结专家,玄学运势,🧶,怀疑上辈子得罪了月老，这辈子红线全是死结。,,
387,前任的现任观察员,情感离谱,👀,不是放不下，就是想看看他找了个什么样的‘替代品’。,,
388,相亲简历优化师,职场发疯,📄,把‘爱打游戏’写成‘擅长策略规划’，把‘宅’写成‘享受居家生活’。,,
389,恋爱脑切除手术,趣味整活,🔪,每次心动，都试图用理智给自己做开颅手术。,G015,
390,催婚话术反侦察,逆天知识,🕵️,熟练掌握‘工作忙’‘随缘’‘还没遇到合适的’等标准答案。,,
391,分手后遗症门诊,情感离谱,🏥,症状包括但不限于：听歌对号入座、看啥都像他、深夜emo。,,
392,孤寡青蛙转世,玄学运势,🐸,算命的说你命里缺桃花，你怀疑缺的是整个春天。,,
393,恋爱演习指挥官,性格搞怪,🎮,在脑子里已经和crush过完了一生，现实中没说过一句话。,,
394,相亲KPI考核员,职场发疯,📊,本月相亲次数达标，但‘成交率’为零，急需复盘。,,
395,前任遗物清理师,情感离谱,🧹,清空购物车容易，清空回忆里的购物车链接很难。,,
396,注孤生体质检测,趣味整活,🧪,喜欢的人不喜欢你，喜欢你的人你觉得不行。,,
397,恋爱经济学入门,逆天知识,💰,计算恋爱的时间成本、情绪价值与单身自由的性价比。,,
398,桃花运风水大师,玄学运势,🌀,尝试换头像、改签名、转发锦鲤，桃花依旧在别处盛开。,,
399,嘴硬心软型选手,性格搞怪,💪,嘴上说着‘一个人挺好’，刷到情侣视频还是会停顿三秒。,,
400,办公室恋情观察家,职场发疯,📝,对同事的恋爱动态了如指掌，自己的感情线一片空白。,,
401,暧昧期ICU重症,情感离谱,💀,对方一句话能让你上天堂，下一句就能让你下地狱。,,
402,恋爱剧本杀编剧,趣味整活,✍️,给每次心动都脑补了八十集连续剧，实际播出时长：三分钟。,,
403,催婚抗压训练营,性格搞怪,🛡️,练就了左耳进右耳出，表面点头称是，内心毫无波澜的神功。,,
404,分手大师速成班,逆天知识,🎓,通过分析朋友的分手案例，总结出‘如何体面离开’的一百种方法。,,
405,正缘迷路中,玄学运势,🧭,塔罗牌说你正缘在路上，你怀疑他用的高德地图，而你用的是百度。,,
406,恋爱内耗冠军,情感离谱,🏆,还没开始谈，就已经在脑子里分了一百次手。,,
407,相亲尬聊记录员,职场发疯,📼,回家后能一字不差地复述今晚的尴尬对话，供自己复盘嘲笑。,,
408,自我攻略型选手,性格搞怪,🚩,对方看了你一眼，你连孩子名字都想好了。,,
409,前任大数据分析师,趣味整活,📈,通过微博点赞、网易云歌单，精准推测对方的情感状态。,,
410,恋爱防沉迷系统,逆天知识,🛑,设置心动上限，一旦超标自动启动‘人间清醒’模式。,,
411,月老黑名单VIP,玄学运势,🚫,去庙里求姻缘，连签筒都跟你作对，全是下下签。,,
412,塑料爱情质检员,情感离谱,🔍,能一眼看穿朋友圈秀恩爱合照里的僵硬与勉强。,,
413,职场寡王,职场发疯,👑,公司里唯一一个不用在情人节和七夕请假的员工。,,
414,恋爱系统版本过低,趣味整活,📱,别人的恋爱是偶像剧，你的恋爱像上世纪黑白默片，还卡带。,,
415,催婚免疫球蛋白,性格搞怪,💉,对‘什么时候结婚’‘眼光不要太高’等病毒性话语产生抗体。,,
416,失恋废墟重建师,情感离谱,🏗️,一边捡拾破碎的自我，一边试图用新爱好把生活填满。,,
417,相亲对象图鉴收集,逆天知识,📚,见过的奇葩多了，能写一本《人类迷惑行为大赏·相亲篇》。,,
418,桃花劫体质,玄学运势,⚡,来的都不是正缘，全是来教你认清人性的老师。,,
419,恋爱躺平学家,职场发疯,🛌,主动是不可能主动的，全靠命运把对象砸我头上。,,
420,前任纪念品博物馆,情感离谱,🏛️,有些东西扔不掉，不是舍不得，是懒得收拾。,,
421,单身保命指南作者,趣味整活,📖,熟练掌握一个人吃火锅、看电影、去医院等生存技能。,,
422,恋爱脑格式化失败,性格搞怪,💾,每次删完聊天记录和照片，过几天又偷偷从回收站恢复。,,
423,确诊为蜗牛,性格搞怪,🐌,能不出门就不出门，出门要背满家当，有人靠近就缩壳,,
424,消息已读不回,性格搞怪,📱,看到消息先放放，想着等会回，转头就忘到九霄云外,,
425,聚会隐形人,性格搞怪,🥷,聚餐挑角落坐，拍照往最后排躲，就怕有人突然cue自己,,
426,耳机焊在耳朵上,性格搞怪,🎧,出门必戴耳机，没耳机连买个早餐都觉得浑身不自在,,
427,道歉型人格,性格搞怪,🙇,别人碰了自己都要先说对不起，啥错都先往自己身上揽,,
428,线上疯批线下怂,性格搞怪,🤡,网上打字比谁都快，现实里跟陌生人说话都磕巴,,
429,奶茶选糖纠结症,性格搞怪,🥤,点奶茶选糖度能选三分钟，选完还会后悔是不是选甜了,,
430,赖床十级学者,性格搞怪,🛌,闹钟响了能关八次，不到最后一分钟绝对不起床,,
431,表情包当饭吃,性格搞怪,😎,聊天先翻表情包库，没有合适的图都不知道怎么回消息,,
432,MBTI行走说明书,趣味整活,📋,新认识人先问MBTI，比查星座还熟练，什么类型都能唠两句,,
433,取快递伪装大师,趣味整活,📦,下楼取快递要戴帽子戴口罩，就怕碰到半熟的人要打招呼,,
434,沙发土豆转世,趣味整活,🥔,休息日能在沙发上躺一天，除了上厕所连屁股都不挪一下,,
435,废话文学大师,趣味整活,🗣️,听君一席话如听一席话，张口就是没用的大实话,,
436,海底捞社恐选手,趣味整活,🍲,去海底捞不敢跟服务员对视，就怕他们过来递毛巾送小礼物,,
437,熬夜冠军守门员,趣味整活,🌙,每天都发誓要早睡，躺床上刷手机刷到两点还精神,,
438,外卖备注小作文,趣味整活,✍️,点外卖备注能写三行，多放辣少放葱不要餐具写得清清楚楚,,
439,相册全是截图,趣味整活,🖼️,手机相册一万张图，九千张是聊天记录和表情包截图,,
440,外卖永远点同款,逆天知识,🍱,找到一家合口味的外卖，能连续点半个月不换样,,
441,历史人物同款懒,逆天知识,📜,跟王阳明一样拖延，跟李白一样爱喝酒，普通人也有历史同款特质,,
442,睡觉姿势测命格,逆天知识,🛏️,喜欢蜷缩睡是缺乏安全感，大字睡是天生乐天派，你的姿势对应啥命,,
443,收藏夹吃灰达人,逆天知识,📁,看到干货就收藏，收藏了等于学会了，再也没打开过第二遍,,
444,洗发水用到底才换,逆天知识,🧴,日用品非要用到挤不出来才买新的，囤货等于永远用旧的,,
445,微信步数判行踪,逆天知识,🚶,看朋友微信步数就知道他今天上没上班，出没出门，比定位还准,,
446,听歌品味测年龄,逆天知识,🎵,歌单里占比最高的歌发行年份，基本就是你中学的年份,,
447,上辈子是守门石狮子,玄学运势,🦁,就喜欢在工位上坐着，不爱动也不爱说话，谁来都多看两眼,,
448,投胎当小区流浪猫,玄学运势,🐱,下辈子不用上班，每天晒晒太阳睡睡觉，还有好心人喂罐头,,
449,前世是驿站喂马的,玄学运势,🐎,这辈子就爱给同事取快递带外卖，跑腿的活干得比谁都熟,,
450,今日摸鱼运势,玄学运势,🐟,测测今天摸鱼会不会被老板抓，适合刷手机还是带薪拉屎,,
451,灵气值剩余检测,玄学运势,✨,上班上久了灵气都没了，看看你还剩多少没被工作磨掉,,
452,月老红线缠脚了,玄学运势,🧵,桃花运迟迟不来，原来月老的红线全缠你脚腕上打了结,,
453,下辈子做冰箱,玄学运势,🧊,天天凉飕飕的，不用上班，里面还全是好吃的,,
454,暗恋等死型选手,情感离谱,💘,喜欢一个人绝对不主动，就等着对方来跟自己表白，等黄了也不说,G054,
455,塑料友情防弹级,情感离谱,🛡️,跟好朋友平时互相损，真出事了比谁都靠谱，砸都砸不烂,G001,
456,社交电池10%,情感离谱,🔋,出门社交两小时就得回家躺半天，电用完了谁叫都不出去,,
457,恋爱脑晚期患者,情感离谱,🧠,一谈恋爱就智商为零，对方说啥都信，撞了南墙都不回头,,
458,把天聊死小能手,情感离谱,💬,别人抛过来的梗接不住，说两句话就冷场，自己还没察觉,,
459,朋友圈三天可见,情感离谱,🕒,发完朋友圈过半天就觉得尴尬，赶紧设成三天可见，删都懒得删,,
460,闺蜜恋爱军师,情感离谱,军师,给朋友分析感情头头是道，轮到自己谈恋爱啥也不是,,
461,开会灵魂出窍,职场发疯,👻,开会坐在第一排，眼神盯着老板，脑子已经在想晚上吃啥了,G044,
462,下班跑的比谁都快,职场发疯,🏃,下班铃一响第一个冲出去，电脑都来不及关，就怕老板临时加活,,
463,工位零食库管理员,职场发疯,🍪,工位抽屉里全是零食，自己没吃多少，全被同事分完了,,
464,带薪拉屎冠军,职场发疯,🚽,每天上班先去厕所蹲二十分钟，刷完朋友圈才慢悠悠出来,G002,
465,改方案改到吐,职场发疯,🤮,甲方爸爸要改第八版方案，改到最后还是第一版最好,,
466,群聊潜水截图党,职场发疯,🤫,公司大群从来不说话，天天窥屏存同事发的表情包，转头就用,,
467,周一综合症重度,职场发疯,😫,周日晚上就开始emo，周一早上坐在工位上魂还在家里,,
468,工资到账即清空,职场发疯,💸,工资刚发下来，还完花呗信用卡房租，剩下的钱够吃泡面就不错,,
469,拖延二级残废,性格搞怪,🐌,deadline前半小时才开始敲键盘，早一分钟都动不了手,,
470,深夜矫情冠军,情感离谱,🌙,一到十二点就翻前任朋友圈，早上醒了恨不得扇自己两巴掌,G053,
471,摸鱼时间管理大师,职场发疯,🐟,上厕所20分钟接水10分钟，带薪拉屎比工作时间都规律,G043,
472,外卖选择困难户,性格搞怪,🍱,十一点开始刷外卖，刷到十二点半还没决定吃黄焖鸡还是麻辣烫,,
473,网购剁手达人,趣味整活,🛒,拆快递比发工资还开心，花呗账单出来才想起来自己买过这玩意,,
474,上辈子是驿站囤货员,玄学运势,📦,每天都有快递到，驿站老板都能直接喊出你名字,,
475,开会摸鱼段位鉴定,职场发疯,💻,领导在上面讲规划，你在下面刷宠物视频憋笑憋到抖肩,,
476,emo文案收藏家,情感离谱,📝,手机备忘录里存了三十条伤感文案，没一条好意思发朋友圈,,
477,外卖口味考古学家,逆天知识,🍜,能准确说出公司周边三公里内每家外卖的辣度偏咸还是偏淡,,
478,下班倒计时选手,职场发疯,⏰,离下班还有十分钟就收拾好包，领导一喊加班脸直接垮下来,,
479,深夜网抑云常驻嘉宾,情感离谱,🎵,歌单里全是伤感情歌，循环到三点还在想他为什么不回消息,,
480,凑单小能手,趣味整活,🧮,为了满减凑了三个没用的东西，算下来比单买还贵五块,G055,
481,明日复明日信徒,性格搞怪,📅,今天的事永远推明天，明天推后天，到截止日才通宵赶工,,
482,下辈子当外卖试吃员,玄学运势,🥡,这辈子吃了上千家外卖，投胎就想干不用花钱吃外卖的活,,
483,工位隐形摸鱼人,职场发疯,🪑,电脑页面永远开着工作文档，其实最小化窗口是小说页面,,
484,暗恋等死型选手,情感离谱,💘,喜欢的人发朋友圈你纠结半小时评论什么，最后还是只点了个赞,G054,
485,无用商品收藏家,性格搞怪,🎁,家里堆了二十个没用的手机壳、十根没拆的口红，看见好看的还是想买,,
486,外卖备注十级学者,逆天知识,✍️,知道写“多放辣老板我是你老乡”比“多放辣”得到的辣椒多三倍,,
487,拖延症阎王薄记载,玄学运势,📓,阎王让你三更走，你拖到五更还在说“再等我刷完这条抖音”,,
488,工作群潜水冠军,职场发疯,🤿,领导发红包第一个抢，让汇报工作第一个装看不见,,
489,深夜食欲控制失败,情感离谱,🍕,十点说要减肥，十二点就点了烧烤加冰可乐，边吃边骂自己没出息,,
490,快递拆箱仪式爱好者,趣味整活,✂️,拆快递必须录开箱视频，哪怕买的是九块九包邮的袜子,,
491,万年踩点上班选手,性格搞怪,🚇,闹钟定七个，最后一个响了才弹起来，踩着打卡铃最后一秒冲进公司,,
492,乾隆同款外卖品味,逆天知识,👑,跟乾隆下江南就爱吃那几样菜一样，外卖翻来覆去只点吃过的三家,,
493,摸鱼功德积累器,玄学运势,🙏,上班摸鱼一分钟，来世多享一分钟福，越摸功德越厚,,
