﻿批号,标签名,分类,_status兜底模板,dims数量,qs数量,qs.dim匹配,resultTypes数量,match匹配,硬性校验,概念创意,维度设计,题目质量,结果类型,emoji配色,总分,评级,问题,处理方式
服务器单跑-5,"深夜矫情浓度检测",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"在同事眼里的人设",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"你的网络人格分裂指数",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"床头水杯数量",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"灵气复苏你在哪一层",玄学运势,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"摸鱼时的手部小动作",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"未发送的微信消息",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"寿命计算（离谱版）",玄学运势,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"你是哪个小众领域专家",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"你和最好朋友的相似度",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"恋爱脑发作周期",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"备忘录里的奇怪清单",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"上辈子是什么职业（冷门版）",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"通过歌单看人生阶段",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"你的互联网嘴替是谁",趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"对crush的搜索记录",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"今天的运势（自己说了算）",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"废话大师鉴定",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"把天聊死流派",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"深夜矫情等级",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"跟历史人物的共同点",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-5,"你的外卖记录人生转折点",逆天知识,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-5,"用奶茶配料看性格",逆天知识,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-5,"出门前的准备时长",性格搞怪,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-5,"“再玩五分钟就睡”重症",性格搞怪,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-5,"你的拖延症具体型号",逆天知识,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-5,"办公室神秘失踪事件2.0",职场发疯,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-6,"外卖记录反推人生",逆天知识,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"投胎成什么家用电器",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"你眼中的自己 vs 别人眼中的你",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"没人理解的生活习惯",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"用睡觉姿势推测历史地位",逆天知识,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"社交强制关机时刻",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"给日常物品分配MBTI",趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"跟表情包的灵魂契合度",趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"证明你和朋友是同一个人",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"你的翻聊天记录流派",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"备忘录里的未发送内容",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"你的“算了”能量槽",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"通过歌单诊断近期状态",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"上辈子是驿站喂马的",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"朋友群的潜水并截图大师",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"单身饭桶鉴定",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"猫奴等级测试",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"狗语八级学者",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,5,5,5,4,23,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"抽卡非酋认证",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"追星站姐代餐",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"吃辣段位测评",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,5,5,5,5,4,24,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-6,"今天的运势，准不准你说了算",玄学运势,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-6,"对暗恋对象的表达方式",情感离谱,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-6,"你的外卖连续剧",逆天知识,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-6,"摸鱼时的搜索引擎记录",职场发疯,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-6,"确诊为“已读不回”型人格",情感离谱,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-6,"熬夜肝游戏人",性格搞怪,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-6,"追星氪金能手",性格搞怪,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-6,"路边摊狙击手",性格搞怪,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-6,"单身沙发焊死",趣味整活,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-7,"猫掉毛量计算",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"游戏按键磨损度",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"爱豆同款相似度",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"奶茶糖分计算师",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"单身桃花转世",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"宠物前世身份",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"追星缘分指数",玄学运势,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"吃货财运关联",玄学运势,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"单身等死型恋爱",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"宠物争宠大师",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"游戏cp绝缘体",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"追星梦女等级",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"带薪撸鱼达人",职场发疯,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"上班摸鱼打游戏",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"工位追星隐蔽者",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"带薪蹲点抢外卖",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"单身冰箱收藏家",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"仓鼠囤粮爱好者",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"游戏嘴强王者",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"追星物料考古家",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"单身情侣观察员",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"宠物表情包大户",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"新游尝鲜韭菜",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"应援词背诵大师",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"隐藏菜单挖掘者",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"单身脱单flag寿命",逆天知识,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"遛狗步数换算",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"游戏喷人速度测试",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"爱豆生日记忆力",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"火锅蘸料配方师",逆天知识,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"相亲局话术大师",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"前任考古学家",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"恋爱脑间歇性发作",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"脱单锦鲤绝缘体",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"相亲对象分类学",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"朋友圈官宣拖延症",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"妈见打型单身贵族",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"恋爱废物鉴定",趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"月老线打结专家",玄学运势,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"前任的现任观察员",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"相亲简历优化师",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"催婚话术反侦察",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"分手后遗症门诊",情感离谱,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"孤寡青蛙转世",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"恋爱演习指挥官",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"相亲KPI考核员",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"前任遗物清理师",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"注孤生体质检测",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"桃花运风水大师",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"嘴硬心软型选手",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"办公室恋情观察家",职场发疯,通过,5(正常),16≠15,全部匹配,5=5,全部匹配,失败,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"qs数量16≠15","直接入库"
服务器单跑-7,"暧昧期ICU重症",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"恋爱剧本杀编剧",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-7,"单身时长换算",逆天知识,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-7,"游戏皮肤运气",玄学运势,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-7,"饭搭子绝交阈值",情感离谱,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-7,"下班光速消失术",职场发疯,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-7,"外卖口味执念者",性格搞怪,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-7,"催婚压力测试仪",职场发疯,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-7,"恋爱经济学入门",逆天知识,失败,-,-,-,-,-,失败,0,0,0,0,0,0,⭐ 无效,"_status=failed","需重跑"
服务器单跑-8,"催婚抗压训练营",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"分手大师速成班",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"正缘迷路中",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"恋爱内耗冠军",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"相亲尬聊记录员",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"自我攻略型选手",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"恋爱防沉迷系统",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"月老黑名单VIP",玄学运势,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"职场寡王",职场发疯,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"催婚免疫球蛋白",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"失恋废墟重建师",情感离谱,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"相亲对象图鉴收集",逆天知识,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"桃花劫体质",玄学运势,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"单身保命指南作者",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"恋爱脑格式化失败",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"确诊为蜗牛",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"聚会隐形人",性格搞怪,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"耳机焊在耳朵上",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"道歉型人格",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"线上疯批线下怂",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"奶茶选糖纠结症",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"表情包当饭吃",性格搞怪,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"MBTI行走说明书",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"取快递伪装大师",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"沙发土豆转世",趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"废话文学大师",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"海底捞社恐选手",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"熬夜冠军守门员",趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"外卖备注小作文",趣味整活,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"相册全是截图",趣味整活,通过,6(正常),18=6×3,全部匹配,6=6,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"历史人物同款懒",逆天知识,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
服务器单跑-8,"睡觉姿势测命格",逆天知识,通过,5(正常),15=5×3,全部匹配,5=5,全部匹配,通过,4,4,4,4,4,20,⭐⭐⭐⭐⭐,"","直接入库"
