
======= 标签创意评价总报告 =======
总共评价: 357 份
315,工位上的神秘失踪事件,15,3,2,4,4,2,Common,4
316,下辈子投胎成什么岗位,14.5,2,2,3,4.5,3,Common,5
317,社交电池容量,16,3,2,4,4,3,Common,5
318,给Wi-Fi分配MBTI,16.5,3,3,3,4.5,3,Rare,6
319,你是哪个朝代的民间专家,14.5,2,2,3,4.5,3,Common,5
320,灵气复苏后你的本体,16.5,4,2,3,4.5,3,Rare,5
321,塑料友情鉴定,15,3,2,3,4,3,Common,5
322,开会时的真实脑内活动,16,3,3,3,4,3,Common,6
323,通过奶茶订单反推人生,16.5,3,3,4,4.5,2,Rare,5
324,暗恋表达流派,17,3,3,4,4,3,Rare,6
325,下班前最后五分钟,17,3,3,4,4,3,Rare,6
326,确诊为路由器,14.5,2,2,3,4.5,3,Common,5
327,你的表情包灵魂伴侣,16.5,2,3,4,4.5,3,Rare,6
328,今日运势（准不准你说了算）,16,3,3,3,4,3,Common,6
329,朋友群里的备注名,17,3,3,3,4,4,Legendary,7
330,摸鱼时创造的副业,18,3,3,4,4,4,Legendary,7
331,把天聊死锦标赛冠军,15,3,3,3,4,2,Common,5
332,如果家具会说话,16.5,3,3,3,4.5,3,Rare,6
333,下辈子投胎去哪,15.5,2,3,3,4.5,3,Common,6
334,拖延症晚期,14,2,2,4,4,2,Common,4
335,你是哪种小猫,14.5,2,2,3,4.5,3,Common,5
336,谁在暗恋你,17,3,3,4,4,3,Rare,6
337,社死瞬间,20,3,4,4,4,5,Legendary,9
338,抽象大师,20,4,3,4,4,5,Legendary,8
339,测测寿命,16,2,2,3,4,5,Rare,7
340,板砖武器,17,4,2,3,4,4,Rare,6
341,你的超能力,17,2,3,3,4,5,Legendary,8
342,前世是什么,16.5,2,3,3,4.5,4,Rare,7
343,讨好型人格,18,2,3,4,4,5,Legendary,8
344,精神状态良好,16,3,3,4,4,2,Common,5
345,MBTI隐秘人格,18,3,3,3,4,5,Legendary,8
346,摸鱼天花板,17,3,3,4,4,3,Rare,6
347,渣男鉴别器,17,3,3,4,4,3,Rare,6
348,社恐评级,16,2,3,4,4,3,Common,6
349,发疯指数测试,16,2,3,4,4,3,Common,6
350,摆烂大师,15,2,2,4,4,3,Common,5
351,戏精体质,15,2,3,3,4,3,Common,6
352,当代年轻人,15,2,3,3,4,3,Common,6
353,你的精神图腾,15,2,3,3,4,3,Common,6
354,小丑竟是我,19,2,4,4,4,5,Legendary,9
355,测试你的怨气值,14,2,2,4,4,2,Common,4
356,今天吃什么,14,2,2,3,4,3,Common,5
357,测试寿命,16,2,2,4,4,4,Common,6


======= 分数分布 =======
20分: ██ 2
19分: ██ 2
18分: ████████████ 12
17分: ██████████████████████████████ 58
16分: ██████████████████████████████ 106
15分: ██████████████████████████████ 77
14分: ████████████████████ 20
13分: ██ 2
12分: █ 1

实体隐喻型标签: 77 份
非实体型标签: 280 份
